audio_file,torch_backend,audio_duration_s,transcription_time_s,real_time_factor
sub-DC22112_ses-v1_task-sandwich-audio.wav,cpu,42.20201814058957,14.665433168411255,2.87765234452747
sub-DC22112_ses-v1_task-sandwich-audio.wav,mps,42.20201814058957,8.42519998550415,5.009022719128283
sub-DC22124_ses-v1_task-sandwich-audio.wav,cpu,50.00544217687075,14.0069739818573,3.570038913589823
sub-DC22124_ses-v1_task-sandwich-audio.wav,mps,50.00544217687075,7.000945091247559,7.142670243105686
sub-DC22124_ses-v1_task-wab-audio.wav,cpu,35.17006802721088,11.052836179733276,3.181994870393492
sub-DC22124_ses-v1_task-wab-audio.wav,mps,35.17006802721088,4.758923768997192,7.390340701889825
sub-DC22127_ses-v2_task-sandwich-audio.wav,cpu,30.629931972789116,24.506065130233765,1.2498918863559283
sub-DC22127_ses-v2_task-sandwich-audio.wav,mps,30.629931972789116,12.607041120529175,2.4295892810971838
sub-DC22127_ses-v2_task-wab-audio.wav,cpu,34.82902494331066,45.667032957077026,0.7626732609505605
sub-DC22127_ses-v2_task-wab-audio.wav,mps,34.82902494331066,14.2967689037323,2.4361465991255007
sub-DC22128_ses-v1_task-sandwich-audio.wav,cpu,40.1578231292517,12.287436962127686,3.2682017619318064
sub-DC22128_ses-v1_task-sandwich-audio.wav,mps,40.1578231292517,5.627002954483032,7.136627340360284
sub-DC22128_ses-v1_task-wab-audio.wav,cpu,72.15192743764172,48.65321397781372,1.4829837854194712
sub-DC22128_ses-v1_task-wab-audio.wav,mps,72.15192743764172,17.27654719352722,4.176293250579255
sub-DC22129_ses-v2_task-sandwich-audio.wav,cpu,32.56961451247165,12.00180196762085,2.7137270386846764
sub-DC22129_ses-v2_task-sandwich-audio.wav,mps,32.56961451247165,6.229485034942627,5.228299663580718
sub-DC22129_ses-v2_task-wab-audio.wav,cpu,79.01541950113379,24.57397985458374,3.2154099567390664
sub-DC22129_ses-v2_task-wab-audio.wav,mps,79.01541950113379,12.805459022521973,6.170448037994041
sub-DC22135_ses-v1_task-sandwich-audio.wav,cpu,17.286621315192743,5.337990760803223,3.238413494854303
sub-DC22135_ses-v1_task-sandwich-audio.wav,mps,17.286621315192743,1.9954469203948975,8.663032395655874
sub-DC22135_ses-v1_task-wab-audio.wav,cpu,39.9233560090703,11.084076642990112,3.60186574804307
sub-DC22135_ses-v1_task-wab-audio.wav,mps,39.9233560090703,4.604721307754517,8.670091703886166
sub-DC22136_ses-v1_task-sandwich-audio.wav,cpu,28.2,7.661854267120361,3.6805711798795038
sub-DC22136_ses-v1_task-sandwich-audio.wav,mps,28.2,4.274388074874878,6.597435587508157
sub-DC22136_ses-v1_task-wab-audio.wav,cpu,25.663492063492065,7.6460700035095215,3.356429126559475
sub-DC22136_ses-v1_task-wab-audio.wav,mps,25.663492063492065,4.332798957824707,5.923074740669825
sub-DC22137_ses-v1_task-sandwich-audio.wav,cpu,23.126984126984127,6.341641902923584,3.6468448520125785
sub-DC22137_ses-v1_task-sandwich-audio.wav,mps,23.126984126984127,3.065192937850952,7.5450337371580805
sub-DC22137_ses-v1_task-wab-audio.wav,cpu,46.85079365079365,13.029023885726929,3.595879020693015
sub-DC22137_ses-v1_task-wab-audio.wav,mps,46.85079365079365,7.10503077507019,6.5940310653096095
sub-DC22212_ses-v1_task-wab-audio.wav,cpu,52.984489795918364,15.175742387771606,3.491393596573733
sub-DC22212_ses-v1_task-wab-audio.wav,mps,52.984489795918364,8.724984884262085,6.072731414296258
sub-DC22214_ses-v1_task-sandwich-audio.wav,cpu,37.57868480725624,13.312359809875488,2.822841730838683
sub-DC22214_ses-v1_task-sandwich-audio.wav,mps,37.57868480725624,6.339334964752197,5.927859154974496
sub-DC22214_ses-v1_task-wab-audio.wav,cpu,40.285714285714285,12.459687948226929,3.2332843690075825
sub-DC22214_ses-v1_task-wab-audio.wav,mps,40.285714285714285,6.389472007751465,6.305014598521002
sub-DC22216_ses-v1_task-sandwich-audio.wav,cpu,43.24852607709751,13.53378701210022,3.1955967711350923
sub-DC22216_ses-v1_task-sandwich-audio.wav,mps,43.24852607709751,7.276306867599487,5.943746857307236
sub-DC22216_ses-v1_task-wab-audio.wav,cpu,52.45668934240363,14.25912594795227,3.678815204654031
sub-DC22216_ses-v1_task-wab-audio.wav,mps,52.45668934240363,7.991166114807129,6.564334740233304
